157.8499 	EXP 	img: image = 'Col11.JPG'
157.8499 	EXP 	img: autoDraw = True
158.0192 	EXP 	New trial (rep=0, index=18): {'pic': 'Bnw3 .JPG', 'correct_response': 'b', 'shown_before': 1}
158.0399 	EXP 	img: autoDraw = False
158.0399 	EXP 	img: image = 'Bnw3 .JPG'
158.0399 	EXP 	img: autoDraw = True
158.0701 	EXP 	New trial (rep=0, index=19): {'pic': 'Col1.JPG', 'correct_response': 'c', 'shown_before': 1}
158.0928 	EXP 	img: autoDraw = False
158.0928 	EXP 	img: image = 'Col1.JPG'
158.0928 	EXP 	img: autoDraw = True
158.2691 	EXP 	New trial (rep=0, index=20): {'pic': 'Bnw1.jpeg', 'correct_response': 'b', 'shown_before': 1}
158.2861 	EXP 	img: autoDraw = False
158.2861 	EXP 	img: image = 'Bnw1.jpeg'
158.2861 	EXP 	img: autoDraw = True
158.4276 	EXP 	New trial (rep=0, index=21): {'pic': 'Bnw6.JPG', 'correct_response': 'b', 'shown_before': 1}
158.4558 	EXP 	img: autoDraw = False
158.4558 	EXP 	img: image = 'Bnw6.JPG'
158.4558 	EXP 	img: autoDraw = True
158.5428 	EXP 	New trial (rep=0, index=22): {'pic': 'Bnw11.JPG', 'correct_response': 'b', 'shown_before': 0}
158.5790 	EXP 	img: autoDraw = False
158.5790 	EXP 	img: image = 'Bnw11.JPG'
158.5790 	EXP 	img: autoDraw = True
158.6774 	EXP 	New trial (rep=0, index=23): {'pic': 'Col7.jpg', 'correct_response': 'c', 'shown_before': 0}
158.7470 	EXP 	img: autoDraw = False
158.7470 	EXP 	img: image = 'Col7.jpg'
158.7470 	EXP 	img: autoDraw = True
158.8184 	EXP 	img: autoDraw = False
158.8193 	EXP 	experiment: status = STOPPED
159.1223 	EXP 	window1: mouseVisible = True
